"importId";"name";"code";"description";"internalDescription";"productSubTypeSelect";"productFamily.id";"productCategory.id";"expense";"procurementMethodSelect";"unit.importId";"productTypeSelect";"salePrice";"saleCurrency.code";"purchasePrice";"purchaseCurrency.code";"defaultSupplierPartner.importId";"startDate";"endDate";"saleSupplySelect";"costPrice";"hasWarranty";"warrantyNbrOfMonths";"isPerishable";"perishableNbrOfMonths";"defaultBillOfMaterial.importId";"managPriceCoef";"picture_fileName";"isActivity";"productVariantConfig.importId";"manageVariantPrice"
1;"Hébergement serveur";"ABO-0001";"Serveur dédié i5-2400 4x3,1GHz 16GoRAM 2x 2To SATA2";"Serveur dédié i5-2400 4x3,1GHz 16GoRAM 2x 2To SATA2";;1;1;"false";;105;"service";70;"XOF";"58.1";"XOF";;"TODAY[-5M1d]";;1;63;"false";;"false";;;"1.4";"img/product/SUB-0001.jpg";;;
2;"Maintenance annuelle";"ABO-0002";"Mise à jour des logiciels, Sauvegardes quotidiennes, Restauration, Accès au portail de tickets";"Mise à jour des logiciels, Sauvegardes quotidiennes, Restauration, Accès au portail de tickets";;1;2;"false";;106;"service";2000;"XOF";1460;"XOF";;"TODAY[-5M1d]";;1;1800;"false";;"false";;;"1.4";"img/product/SUB-0002.jpg";;;
100;"Pack Classique";"EQPT-0002";"Serveur Classique + Imprimante Jet d'Encre + 3 Ramettes Papier + Ecran LED 24 Pouces";"Serveur Classique + Imprimante Jet d'Encre + 3 Ramettes Papier + Ecran LED 24 Pouces";1;2;18;"false";"produce";1;"storable";1845;"XOF";;"XOF";;"TODAY[1d]";;3;1661;"false";;"false";;60;"1.4";"img/product/EQPT-0001.jpg";;;
101;"Pack Performance";"EQPT-0001";"Serveur HP + Imprimante Laser + 3 Ramettes Papier + Ecran LED 24 Pouces";"Serveur HP + Imprimante Laser + 3 Ramettes Papier + Ecran LED 24 Pouces";1;2;18;"false";"produce";1;"storable";2890;"XOF";;"XOF";;"TODAY[1d]";;3;2601;"false";;"false";;80;"1.4";"img/product/EQPT-0002.jpg";;;
110;"Serveur classique";"EQPT-0004";"Boîtier Rack / Processeur 4 cœurs - 8 filetages - 3,4 GHz - 8 Mo Cache / Disque dur SATA 2*2To / RAM : 32 Go / Bande passante : 200 Mbps / RAID : SOFT - 0/1";"Boîtier Rack / Processeur 4 cœurs - 8 filetages - 3,4 GHz - 8 Mo Cache / Disque dur SATA 2*2To / RAM : 32 Go / Bande passante : 200 Mbps / RAID : SOFT - 0/1";2;2;3;"false";"produce";1;"storable";1500;"XOF";1185;"XOF";;"TODAY[-5M1d]";;1;1350;"true";24;"false";;1;"1.4";"img/product/EQPT-0003.jpg";;;
111;"Serveur haute performance";"EQPT-0003";"Boîtier Rack / Processeur 6 cœurs - 12 filetages - 3,2 GHz - 8 Mo Cache / Disque dur SSD 2*200 Go / RAM : 64 Go / Bande passante : 10 Gbps / RAID : SOFT - 0/1";"Boîtier Rack / Processeur 6 cœurs - 12 filetages - 3,2 GHz - 8 Mo Cache / Disque dur SSD 2*200 Go / RAM : 64 Go / Bande passante : 10 Gbps / RAID : SOFT - 0/1";2;2;3;"false";"produce";1;"storable";2500;"XOF";2100;"XOF";;"TODAY[-5M1d]";;1;2250;"true";24;"false";;40;"1.4";"img/product/EQPT-0004.jpg";;;
120;"Imprimante Jet d'encre";"EQPT-0005";"Résolution impression : 1200x1200 ppp / Vitesse impression : 20 ppm / Recto/verso : Automatique / Wifi : oui / Resolution scanner : 4800 ppp / Ecran : Tactile CGD 10,92 cm";"Résolution impression : 1200x1200 ppp / Vitesse impression : 20 ppm / Recto/verso : Automatique / Wifi : oui / Resolution scanner : 4800 ppp / Ecran : Tactile CGD 10,92 cm";3;2;4;"false";"buy";1;"storable";329;"XOF";"250.04";"XOF";148;"TODAY[-5M1d]";;1;296;"true";12;"false";;;"1.4";"img/product/EQPT-0005.png";;;
121;"Imprimante Laser";"EQPT-0006";"Résolution impression : 1200x1200 dpi / Vitesse impression : 33 ppm / Recto/verso : Automatique / Wifi : oui / Resolution scanner : - / Ecran : tactile couleur 8,89 cm";"Résolution impression : 1200x1200 dpi / Vitesse impression : 33 ppm / Recto/verso : Automatique / Wifi : oui / Resolution scanner : - / Ecran : tactile couleur 8,89 cm";3;2;4;"false";"buy";1;"storable";429;"XOF";"360.36";"XOF";148;"TODAY[-5M1d]";;1;386;"true";12;"false";;;"1.4";"img/product/EQPT-0006.jpg";;;
130;"Ecran LED HD 22 pouces";"EQPT-0007";"Résolution maximale : 1920x1080p / Connectique : 2 HDMI, 1 VGA, 1 composite";"Résolution maximale : 1920x1080p / Connectique : 2 HDMI, 1 VGA, 1 composite";3;2;17;"false";"buy";1;"storable";200;"XOF";170;"XOF";148;"TODAY[-4M1d]";;1;180;"true";12;"false";;;"1.4";"img/product/EQPT-0007.jpg";;;
131;"Ecran LED HD 24 pouces";"EQPT-0008";"Résolution maximale : 1920x1080p / Connectique : 2 HDMI, 1 VGA, 1 composite";"Résolution maximale : 1920x1080p / Connectique : 2 HDMI, 1 VGA, 1 composite";3;2;17;"false";"buy";1;"storable";250;"XOF";"207.5";"XOF";148;"TODAY[-4M1d]";;1;225;"true";12;"false";;;"1.4";"img/product/EQPT-0008.jpg";;;
